$ lsmod
---
Module                  Size  Used by
mei_me                 61440  3
int3400_thermal        24576  0
processor_thermal_soc_slider    16384  1 processor_thermal_device
mei                   212992  7 mei_wdt,mei_hdcp,mei_pxp,mei_me
sparse_keymap          12288  2 hp_wmi,intel_hid
wireless_hotkey        12288  0
rfkill                 45056  9 hp_wmi,iwlmvm,bluetooth,cfg80211
pmt_class              20480  2 pmt_telemetry,pmt_discovery
acpi_thermal_rel       24576  1 int3400_thermal
intel_pch_thermal      20480  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
acpi_pad              184320  0
intel_vsec             28672  2 intel_pmc_ssram_telemetry,pmt_telemetry
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
mac_hid                12288  0
ip6t_REJECT            12288  1
nf_reject_ipv6         20480  1 ip6t_REJECT
xt_hl                  12288  22
ip6t_rt                16384  3
ipt_REJECT             12288  1
nf_reject_ipv4         16384  1 ipt_REJECT
xt_LOG                 16384  10
nf_log_syslog          28672  10
nft_limit              16384  13
xt_limit               12288  0
xt_addrtype            12288  4
xt_tcpudp              20480  60
xt_conntrack           12288  17
nf_conntrack          212992  3 xt_conntrack,nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
nft_compat             20480  119
x_tables               69632  11 xt_conntrack,nft_compat,xt_LOG,xt_tcpudp,xt_addrtype,ip6t_rt,ipt_REJECT,xt_limit,xt_hl,xt_MASQUERADE,ip6t_REJECT
nf_tables             405504  610 nft_compat,nft_chain_nat,nft_limit
nfnetlink              20480  3 nft_compat,nf_tables
dm_mod                233472  0
i2c_dev                24576  0
ntsync                 20480  0
pkcs8_key_parser       12288  0
crypto_user            12288  0
zram                   77824  1
842_decompress         16384  1 zram
842_compress           24576  1 zram
lz4hc_compress         20480  1 zram
lz4_compress           28672  1 zram
i915                 5234688  36
nvme                   77824  2
drm_buddy              12288  1 i915
nvme_core             286720  3 nvme
intel_gtt              28672  1 i915
nvme_keyring           20480  1 nvme_core
ttm                   159744  1 i915
nvme_auth              36864  1 nvme_core
i2c_algo_bit           20480  1 i915
video                  81920  1 i915
drm_display_helper    303104  1 i915
spi_intel_pci          12288  0
intel_lpss_pci         28672  0
spi_intel              40960  1 spi_intel_pci
intel_lpss             12288  1 intel_lpss_pci
wmi                    45056  5 hp_wmi,video,intel_wmi_thunderbolt,hp_bioscfg,wmi_bmof
cec                   106496  2 drm_display_helper,i915
idma64                 20480  0
serio_raw              20480  0
